Title,channel_title,published_at,category_id,view_count,like_count,comment_count,duration,definition,caption,engagement_rate,likes_to_views_ratio,comments_to_views_ratio,duration_seconds,video_age_days,category_name,duration_label,is_view_outlier,has_zero_views,is_title_duplicate,views_per_day,engagement_tier,is_hd
LA PERVERSA X LA INSUPERABLE X ALOFOKE MUSIC X SHADOW BLOW - BANDIDA,AlofokeMusicSounds,2025-11-16 15:34:55+00:00,10,1405647,140463,9063,PT1M51S,hd,False,0.106375138,0.09992757789,0.006447560129,111,1,Music,Medium (1–5 min),False,False,False,1405647.0,High,True
Moana | Official Teaser,Disney,2025-11-17 17:00:47+00:00,24,2776847,26801,6684,PT1M,hd,True,0.01205863627,0.00965159058,0.002407045686,60,0,Entertainment,Medium (1–5 min),False,False,False,2776847.0,Low,True
$0 - $1 Trillion Only FISHING in Steal a Brainrot..,CaylusBlox,2025-11-17 22:57:14+00:00,20,1189857,16174,1827,PT18M2S,hd,False,0.01512869603,0.01359321869,0.001535477343,1082,0,Gaming,Long (5–20 min),False,False,False,1189857.0,Low,True
ALLDAY PROJECT - ‘ONE MORE TIME’ M/V,THEBLACKLABEL,2025-11-17 09:00:07+00:00,10,5319161,0,12869,PT3M23S,hd,True,0.002419366058,0.0,0.002419366058,203,1,Music,Medium (1–5 min),False,False,False,5319161.0,Low,True
La Lupa | Vendetta Hero Trailer | Overwatch 2,PlayOverwatch,2025-11-17 17:00:06+00:00,20,597542,41742,4728,PT3M35S,hd,True,0.07776846185,0.06985606057,0.007912401283,215,0,Gaming,Medium (1–5 min),False,False,False,597542.0,High,True
I Shouldn’t Have Went Christmas Shopping…,CaseOh,2025-11-17 23:01:11+00:00,20,296652,10565,676,PT1H13M51S,hd,False,0.03789275686,0.0356140002,0.002278756662,4431,0,Gaming,Very Long (> 20 min),False,False,False,296652.0,Medium,True
Charli xcx - Chains of Love (Official Video),Charli xcx,2025-11-17 17:00:56+00:00,10,333414,33124,1778,PT3M13S,hd,False,0.1046803533,0.09934765982,0.00533269349,193,0,Music,Medium (1–5 min),False,False,False,333414.0,High,True
Wake Up Dead Man: A Knives Out Mystery | Official Trailer | Netflix,Netflix,2025-11-17 14:00:00+00:00,24,1925626,34578,1248,PT2M3S,hd,True,0.01860484923,0.01795674863,0.0006481005927,123,0,Entertainment,Medium (1–5 min),False,False,False,1925626.0,Low,True
It's all crashing down..,Asmongold TV,2025-11-18 02:00:35+00:00,20,755718,26231,5285,PT17M13S,hd,False,0.04170333153,0.03470999141,0.006993340117,1033,0,Gaming,Long (5–20 min),False,False,False,755718.0,Medium,True
DeeBaby  - Pain Gon Come (  Official Music Video ),Official DeeBabyTV,2025-11-17 19:00:57+00:00,10,92297,4674,306,PT2M56S,hd,False,0.05395566534,0.05064031723,0.003315348112,176,0,Music,Medium (1–5 min),False,False,False,92297.0,High,True
Five Nights at Freddy's 2 | Rage,Universal Pictures,2025-11-17 17:01:35+00:00,24,356239,22033,1270,PT33S,hd,False,0.065413766,0.06184875365,0.003565012351,33,0,Entertainment,Short (< 1 min),False,False,False,356239.0,High,True
"Steal A Brainrot, But Everything I Touch Turns OWNER..",KAYE,2025-11-17 22:00:51+00:00,20,306602,5306,2056,PT17M26S,hd,False,0.02401150674,0.01730576674,0.006705739996,1046,0,Gaming,Long (5–20 min),False,False,False,306602.0,Medium,True
Fine Chiki,JNR VIGI - Topic,2025-11-07 06:58:26+00:00,10,79628,2581,76,PT3M42S,hd,False,0.03336724058,0.03241281443,0.0009544261513,222,11,Music,Medium (1–5 min),False,False,False,7238.91,Medium,True
IT: Welcome to Derry | Midseason Trailer | HBO Max,HBO Max,2025-11-17 03:00:38+00:00,24,599589,24027,1424,PT1M34S,hd,True,0.04244733901,0.04007238279,0.00237495622,94,1,Entertainment,Medium (1–5 min),False,False,False,599589.0,Medium,True
Friday Night Funkin: The Lost Episode,CoryxKenshin,2025-11-16 20:05:03+00:00,20,2137798,233435,22070,PT35M55S,hd,False,0.1195177844,0.1091940823,0.01032370209,2155,1,Gaming,Very Long (> 20 min),False,False,False,2137798.0,High,True
KAROL G - PROVENZA (Letra/Lyrics),FirePlay,2025-11-16 14:48:58+00:00,10,234277,406,4,PT3M27S,hd,True,0.001750057624,0.001732983891,1.71e-05,207,1,Music,Medium (1–5 min),False,False,False,234277.0,Low,True
